Classes_meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class_id,Type,Level,XP,Hit_Dice,Notes,Casting_Level,Level_1_Spells,Level_2_Spells,Level_3_Spells,Level_4_Spells,Level_5_Spells,Level_6_Spells,Level_7_Spells,Level_8_Spells,Level_9_Spells,Aimed_Magic_Items,Breath_Weapons,Death_Paralysis_Poison,Petrifaction_Polymorph,Spells,To_Hit_-10,To_Hit_-9,To_Hit_-8,To_Hit_-7,To_Hit_-6,To_Hit_-5,To_Hit_-4,To_Hit_-3,To_Hit_-2,To_Hit_-1,To_Hit_0,To_Hit_1,To_Hit_2,To_Hit_3,To_Hit_4,To_Hit_5,To_Hit_6,To_Hit_7,To_Hit_8,To_Hit_9,To_Hit_10,Climb_Walls,Find_Traps,Hear_Noise,Hide_in_Shadows,Move_Quietly,Open_Locks,Pick_Pockets,Read_Languages,Turn_Undead_Type_1,Turn_Undead_Type_2,Turn_Undead_Type_3,Turn_Undead_Type_4,Turn_Undead_Type_5,Turn_Undead_Type_6,Turn_Undead_Type_7,Turn_Undead_Type_8,Turn_Undead_Type_9,Turn_Undead_Type_10,Turn_Undead_Type_11,Turn_Undead_Type_12,Turn_Undead_Type_13,Ability,Level_Gained,Ability_Description
VARCHAR(50) REFERENCES Classes(unique_id) ON UPDATE CASCADE ON DELETE CASCADE,VARCHAR(20),INTEGER,INTEGER,INTEGER,VARCHAR(50),INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(10),VARCHAR(20),INTEGER,TEXT
display_col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assassin,xp table,1,0,1,,0,0,0,0,0,0,0,0,0,0,14,16,13,12,15,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,80,25,10,20,20,30,35,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
assassin,xp table,2,1600,2,,0,0,0,0,0,0,0,0,0,0,14,16,13,12,15,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,80,25,10,20,20,30,35,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
assassin,xp table,3,3000,3,,0,0,0,0,0,0,0,0,0,0,14,16,13,12,15,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,80,25,10,20,20,30,35,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
assassin,xp table,4,5750,4,The assassin may recruit assassins as henchmen,0,0,0,0,0,0,0,0,0,0,14,16,13,12,15,26,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,82,29,13,25,25,34,39,5,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
assassin,xp table,5,12250,5,,0,0,0,0,0,0,0,0,0,0,12,15,12,11,13,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,84,33,16,30,30,38,43,10,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
assassin,xp table,6,24750,6,,0,0,0,0,0,0,0,0,0,0,12,15,12,11,13,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,86,37,19,35,35,42,47,15,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
assassin,xp table,7,50000,7,,0,0,0,0,0,0,0,0,0,0,12,15,12,11,13,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,88,41,22,40,40,46,51,20,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
assassin,xp table,8,99000,8,The assassin may recruit thieves as henchmen,0,0,0,0,0,0,0,0,0,0,12,15,12,11,13,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,90,45,25,45,45,50,55,25,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
